ML Catalog Number,Date,Latitude,Longitude,Recordist,Media notes,Age/Sex,Average Community Rating,Filename
388254,2017-08-25,48.635,-112.3305,Thomas Magarian,Amplified. High pass filter 6db.,unknown,0.0,388254.mp3
383429,2017-07-30,48.4288,-123.394,Niels Krabbe,By a bird in a tree while its mate was foraging on the beach. Call given in response to human disturbance.,unknown,0.0,383429.mp3
379659,2016-06-16,44.4168,-69.9973,Lance A. M. Benner,"Recorded in a wet, mixed northern hardwood forest shortly after light rain.  The crows were mobbing a raptor but I wasn't able to see the raptor well enough to identify it before it flew off.

Equipment: Sony PCM-M10 and a Sennheiser ME67.
Edits to the file: trimmed and normalized to -3 dB.",unknown,0.0,379659.mp3
362405,2015-04-20,38.5361,-106.0002,Frank Lambert,,unknown,0.0,362405.mp3
357303,2017-01-15,40.092,-75.4258,Thomas Magarian,Recording amplified. High pass filter.,unknown,0.0,357303.mp3
344949,2016-06-05,56.7264,-111.3803,Luis A Villamil,Vocal sound in the middle of the recording. waterfowl like?? between Canadian toad calls.,unknown,0.0,344949.mp3
328541,2016-07-08,42.7895,-83.1904,Antonio Xeira,"Editing: None.

Equipment: Olympus WS-822 digital recorder with Wildtronics Mono amplified parabolic microphone.",unknown,0.0,328541.mp3
327683,2013-04-25,35.1084,-80.9483,Bernard BOUSQUET,,unknown,0.0,327683.mp3
322267,2016-06-12,41.62,-118.6983,Bobby Wilcox,Flying in circles around my head about 25' above me and presumably alarmed due to a nearby nest that I was unable to locate.  Sagebrush grazing land at the bottom of a narrow riparian canyon with a smattering of large cottonwoods nearby.  ,unknown,0.0,322267.mp3
306320,2016-02-20,33.5448,-117.2695,Nick Komar,Perched in mid-canopy. Recording amplified 10x.,unknown,0.0,306320.mp3
304860,2016-02-27,42.7336,-83.1536,Antonio Xeira,,unknown,0.0,304860.mp3
302631,2012-05-04,48.6611,-123.4114,James Bradley,"Two phrases of Raven-like song accompanied with bill snaps. Bird on ground in parking lot, strutting with exaggerated side-to-side gait and throat feathers ruffed up. Wings slightly drooped.",unknown,0.0,302631.mp3
297898,2015-12-01,39.1742,-75.5424,Jerald R,"Group of crows mobbing some sort of raptor. I think it was a Red-tailed Hawk, but I only saw it for about 3 seconds as it flew. The recording gets louder at 0:50, and you can hear them all take off and chase the hawk at 0:89.",unknown,0.0,297898.mp3
291509,2015-11-21,33.9425,-109.4994,Eric Hough,"Same bird(s) as XC291508. Same clip as Ruby-crowned Kinglet XC291510. Amplification, low and high pass filters, wind noise heavily edited out in Audacity.",unknown,0.0,291509.mp3
291508,2015-11-21,33.9425,-109.4994,Eric Hough,"Same bird(s) as XC291509. Amplification, low and high pass filters, wind noise heavily edited out in Audacity.",unknown,0.0,291508.mp3
287852,2015-10-28,34.4842,-89.5949,J.R. Rigby,Calls from a group of 11 American Crows flying over. No filtering was performed on this recording. Habitat was an open moist grassland near a forest edge to the south and bounded by the shoreline of a large man-made lake approximately 1 km north.  ,unknown,0.0,287852.mp3
287325,2015-10-11,42.2175,-75.832,Nick Komar,"Recording amplified, filtered, spliced for clarity. Habitat was mixed upland forest ecotone with freshwater swamp in Chenango River valley.",unknown,0.0,287325.mp3
284343,2015-10-07,61.1407,-149.961,Dan Lane,Natural calls from bird that had been foraging on ground in park at shore of lake before it flew up into some birches nearby (out of sight) and vocalized twice (one bout captured here). Apparently at the northern boundary of the species' range.,unknown,0.0,284343.mp3
279748,2015-09-18,36.1719,-84.009,Bates Estabrooks,"Soft purring ""crawk"" throughout.",unknown,0.0,279748.mp3
269018,2015-06-20,47.6335,-122.2942,Frank Lambert,Appeared to be mobbing a racoon,unknown,0.0,269018.mp3
267536,2015-08-05,0.0,0.0,Daniel Parker,,unknown,0.0,267536.mp3
266710,2015-08-07,40.0626,-75.1254,Paul Driver,,unknown,0.0,266710.mp3
264942,2015-05-17,40.5736,-80.1464,Aidan Place,A couple of birds making a number of unusual calls including the rattling call heard in the recording.,unknown,0.0,264942.mp3
253628,2015-06-20,48.2333,-69.7842,Martin St-Michel,"One individual calling just before he flew away. Two more individuals nearby agitated at the sight of a Corvus corax. Habitat: field, shrubland.",unknown,0.0,253628.mp3
244670,2015-05-16,39.8239,-105.1538,Jerome Cech,Male Great Horned Owl on branch of Cottonwood tree was being mobbed by American Crows and a blue jay.,unknown,0.0,244670.mp3
244483,2015-05-20,40.043,-76.345,Dan Lane,"Calls from two birds dispersing from a mob around Great Horned Owl, flying over disturbed deciduous woodland amid suburb.",unknown,0.0,244483.mp3
221647,2007-02-23,32.5899,-117.1264,Peter Boesman,ID certainty 100%. (Archiv. tape 502 side A track 11 seq. A),unknown,0.0,221647.mp3
205241,2014-11-27,37.369,-118.398,David Vander Pluym,Clipped and amplified from longer recording (XC205240 and XC205243 part of same recording). Recording Other species in a suburban neighborhood and the crows were calling.,unknown,0.0,205241.mp3
205240,2014-11-27,37.369,-118.398,David Vander Pluym,Clipped and amplified from longer recording (XC205241 and XC205243 part of same recording). Recording Other species in a suburban neighborhood and the crows were calling.,unknown,0.0,205240.mp3
197262,2014-05-22,25.1741,-80.9347,Paul Marvin,"over 1/2 dozen moving through trees, flight and perched",unknown,0.0,197262.mp3
196757,2014-09-21,40.1899,-75.4054,Paul Driver,,unknown,0.0,196757.mp3
196022,2014-07-04,25.138,-80.938,Paul Marvin,In the background of a recording made at a campground by Florida Bay,unknown,0.0,196022.mp3
193780,2014-06-23,55.908,-130.0183,Richard E. Webster,"at Hyder docks; American Crows nearby, but these sounded like Northwestern to me; two birds, one doing most of the calling; 2nd recording of these individuals;",unknown,0.0,193780.mp3
193779,2014-06-23,55.908,-130.0183,Richard E. Webster,,unknown,0.0,193779.mp3
193114,2014-06-22,54.7089,-127.0394,Richard E. Webster,2nd group recorded today; believed to be a young bird,unknown,0.0,193114.mp3
193113,2014-06-22,54.7089,-127.0394,Richard E. Webster,"3rd group recorded today, 1st recording of it; different from any group recorded before; sound somewhat like NW Crows, but I suspect this involves young birds (too far inland as well)",unknown,0.0,193113.mp3
190472,2014-08-08,41.0428,-72.2403,Krzysztof Deoniziak,"habitat: mixed forest near a shore line
behaviour: group of birds flying in the tree canopy",unknown,0.0,190472.mp3
182074,2014-05-21,52.199,-105.0997,Ian Cruickshank,"Including short, rapid-fire caw series (from 0:06 on) which is commonly given by crows in this area; I'm not used to hearing rapid-fire series quite like this from Northwestern Crows in B.C.",unknown,0.0,182074.mp3
172883,2012-05-08,35.3978,-84.1081,Paul Marvin,,unknown,0.0,172883.mp3
172879,2012-06-04,47.3222,-114.2117,Paul Marvin,,unknown,0.0,172879.mp3
172877,2013-11-17,27.9368,-81.2252,Paul Marvin,,unknown,0.0,172877.mp3
172876,2012-04-01,40.496,-107.2517,Paul Marvin,,unknown,0.0,172876.mp3
172825,2014-04-07,45.4064,-73.9371,Patrick Turgeon,"Three American Crows calling to each other. Closest one was in deciduous tree.

Modifications: HPF500/2000",unknown,0.0,172825.mp3
169633,2014-03-11,48.4594,-123.3667,Ian Cruickshank,"""Glurp"" calls given from single bird perched on the edge of a rooftop (no other crows noted in the immediate vicinity).  Each call was accompanied by a downward head movement, and some of the calls include a sharp clicking sound that may be bill-snapping, though I couldn't see the bill well at this point in the calls since the bill was thrust sharply downward towards the breast and obscured from my viewpoint.   ""Caw"" calls given later from the same individual as it flew off from the rooftop and perched in a nearby tree.",unknown,0.0,169633.mp3
164832,2014-01-17,44.942,-93.259,Jonathon Jongsma,"Midnight calls from an urban roosting flock of perhaps 20000 birds in the trees around my house.  An amazing experience.  Entire trees dripping with crows.  Periodically a tree would explode into a swirling crow vortex. Significantly more nasal and high-pitched than normal daytime calls. A poor quality video of just part of the flock: <http://www.youtube.com/watch?v=gi1Q-fufM8M>

Quite a bit of noise from planes and cars passing by.  Filtered the bottom 500Hz fairly heavily.",unknown,0.0,164832.mp3
164831,2014-01-16,44.942,-93.259,Jonathon Jongsma,"Calls from an urban roosting flock of  perhaps 20000 in the trees around my house.  Not the greatest recording, but a fantastic experience.  Entire trees dripping with crows.  Most of the birds are roosting quietly, some squabbling, complaining, and re-locating. Calls seem quite a bit higher-pitched than normal daytime calls. A poor quality video of just part of the flock: <http://www.youtube.com/watch?v=gi1Q-fufM8M>

Lots of noise from planes and cars passing by.  Filtered the bottom 500Hz fairly heavily.",unknown,0.0,164831.mp3
163599,2014-01-05,48.4379,-123.2935,Ian Cruickshank,Vocalizations from large flock staging in shoreline trees before flight out to nighttime roost site on nearby islands.,unknown,0.0,163599.mp3
160807,2013-06-22,51.77586,-103.58164,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160807.mp3
160688,2013-06-04,51.77586,-103.58164,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160688.mp3
160675,2013-05-28,51.77586,-103.58164,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160675.mp3
160518,2013-05-21,51.77586,-103.58164,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160518.mp3
160284,2013-05-03,52.198954,-105.099685,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160284.mp3
160272,2013-05-01,48.464413,-123.373425,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160272.mp3
160166,2013-04-15,48.464413,-123.373425,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160166.mp3
160165,2013-04-15,48.464413,-123.373425,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160165.mp3
160163,2013-04-14,48.464413,-123.373425,Ian Cruickshank,"

Recorded on a Marantz PMD661 recorder using a Sennheiser ME66 microphone.",unknown,0.0,160163.mp3
